"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Incident / Discipline / Waiver","1","0","Submit incident report","0"
"1","","9","","18","7","","0"
"0","","1","Competitions & Schedules","0","0","Watchlist entry point opens the Watchlist screen","0"
"0","","0","Manager Persona Checklist","1","0","Calendar Sync and Borrowed Players","0"
"0","","1","Referee Flow","3","0","Login, Team Sheet, and Match Scoring Flow","0"
"0","","1","Scoring - Foul Recording & Counting","0","0","Scorer records a bench technical foul against a coach/team official","0"
"0","","1","Communication Tests","0","0","send a messgae","0"
"0","","1","Guest Persona Flow","0","0","TC-G14 - Guest follows then unfollows a team","0"
"0","","1","Communication Tests","1","0","Login, open Messages tab, validate elements","0"
"0","","3","Scoring Flow","4","0","Login, Team Sheet, and Match Scoring Flow","0"
"1","","1","Manager Flow","2","0","Login, Team Sheet, and Match Scoring Flow","0"
"1","","1","Home Manager Flow","1","0","Login, Team Officials Permissions Flow","0"
"0","","0","Home & Navigation","1","0","Tasks banner on Home opens the Tasks web page","0"
"0","","4","Referee Flow","0","0","Login, Team Officials Permissions Flow","0"
"0","","1","Scorer Flow","1","0","Lock Attendance, Team Officials Permissions Flow","0"
"0","","1","Sceduling/Draws Flow","0","0","Login, Scheduling Tab, validate Match center elements","0"
"0","","0","Coach Role","1","0","Coach opens Your Team","0"
"0","","1","Authentication","0","0","User Registration","0"
"0","","0","Communication","1","0","Empty notification list shows the 'All clear' card","0"
"0","","1","Shop Admin and Payment Terminal Persona Checklist","0","0","Tap to Pay Android only for shop admin, Canteen Android only for payment terminal","0"
"0","","0","Guest Persona Checklist","1","0","TC-G1 - Guest sees the sign-in bottom navigation & TC-G2 - Account tab shows Register, Follow, Log in","0"
"0","","0","Manager Flow","1","0","Manager Assigns a Referee","0"
"0","","1","Authentication","2","0","Login","0"
"0","","1","Scoring - Foul Recording & Counting","0","0","Scorer records a personal foul against a player","0"
"0","","0","Guest Persona Flow","1","0","TC-G7 - Wrong password shows error, stays on sign-in nav","0"
"0","","1","Coach Flow","3","0","Login, Team Sheet, and Match Scoring Flow","0"
"0","","1","Guest Persona Flow","0","0","TC-G16 - Guest browses public Ladders / Draws / News","0"
"0","","0","Authentication","1","0","Invalid Login Validation","0"
"0","","0","Guest Persona Checklist","1","0","TC-G3 - More menu hides member-only items & TC-G4 - Updates tab shows News and Notifications only & TC-G5 - Choose Language matches app version","0"
"0","","1","Parent-as-childs Persona Checklist","0","0","TC-P1,P2,P3 - Start viewing as child & banner on key screens, Register shows an alert instead of the page, Hides Password / Tap-to-Pay / Canteen","0"
"0","","0","Home & Navigation","1","0","My Memberships is not available under My Profile on Squadi","0"
"0","","0","Coach Role","1","0","Coach opens Your Schedule","0"
"0","","1","Persona Flows","0","0","Umpire views Referee Activity","0"
"0","","1","ladders Validation","0","0","Login, ladders Tab, varify elements","0"
"0","","1","Communication","0","0","Member dismisses a notification via X and clears all notifications","0"
"0","","1","Manager Flow","0","0","Manager Assigns a Scorer","0"
"1","","0","Away Manager Flow","1","0","Login, Team Officials Permissions Flow","0"
"0","","1","Parent-as-childs Persona Checklist","0","0","TC-P5,P7 - Child View Displays Child's Team, Schedule & ID Card, Switch Back to Parent Profile","0"
"0","","0","Coach Role","1","0","Coach sees coaching match card on Home","0"
"0","","1","Open Items","0","0","Goal Statistics is not available under My Team on Squadi","0"
"0","","0","Member Persona Flow","1","0","Login, open different tabs, validate elements","0"
"0","","0","App Foundation","2","0","APP-001 - Splash branding (Squadi AU), APP-002 - Cold start landing","0"
"0","","0","App Foundation","2","0","APP-002 - Cold start landing (signed in)","0"
"0","","1","Guest Persona Flow","0","0","TC-G17 Guest opens a public live match page","0"
"0","","0","Home Manager Flow","1","0","Lock Attendance, Team Officials Permissions Flow","0"
"0","","0","Guest Persona Flow","1","0","TC-G9 - Guest signs in successfully","0"
"0","","1","Referee Flow","0","0","Lock Attendance, Team Officials Permissions Flow","0"
"0","","0","Member Persona Flows","1","0","Open News Article","0"
"0","","0","App Foundation","1","0","APP-003 - Warm resume tab restoration","0"
"0","","1","Scorer Flow","0","0","Team Officials Edit Integrity Flow","0"
"0","","1","Competitions & Schedules","0","0","Filter and round picker switch the draw view","0"
"0","","0","Member Persona Checklist","1","0","Login, open different tabs, validate elements","0"
"0","","1","Scoring Flow","0","0","Offline Scoring and Reconnection Sync","0"
"0","","0","Authentication","1","0","Email Validation","0"
"0","","0","Authentication","1","0","Password Visibility Toggle","0"
"0","","1","Guest Persona Flow","0","0","TC-G10 - Guest creates a new account","0"
"0","","0","Guest Persona Flow","1","0","TC-G11 - Registration shows errors for invalid input","0"
"0","","0","Guest Persona Flow","1","0","Guest cancels sign-in popup","0"
