"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53399","[INC-001] Submit incident report","Officiating tests","2026-09-11","passed","2026-09-11","","","",""
"","7","log in as Team 1 Manager, submit the Team Sheet for the managed team, then reposition and save Starting Formation","","2026-09-11","skipped","2026-09-11","","","",""
"","76368","[DRAW-005] Watchlist entry point opens the Watchlist screen","Manager Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","54265","[S24,S32] Manager opens Calendar Sync and Borrowed Players","Manager - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","60512","log in as Referee, confirm the Substitution row is never shown (S10), and submit the Team Sheet for both teams during the recording window","Referee team sheet recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","59005","the foul is attributed to the team/bench (not a player) and no report screen is shown","Scorer records a bench technical foul against a coach; no report is generated","2026-09-11","failed","2026-09-11","","","",""
"","76406","Empty message thread, Send Message, Member opens or downloads a message attachment in each app flavour","Communication tests","2026-09-11","failed","2026-09-11","","","",""
"","34232","[TC-M4] Ladders show the right columns per app","Member - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","70393","[TC-G14] Guest follows then unfollows a team","Guest - Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","72445","[OFFICIAL-001] Umpire submits a send-off report at the supported text limit","Officiating tests","2026-09-11","passed","2026-09-11","","","",""
"","7","log in as Coach, submit the Team Sheet for both teams, then reposition and save Starting Formation for both teams","","2026-09-11","skipped","2026-09-11","","","",""
"","61298","Field Scorer submits the Team Sheet (including shirt numbers) and repositions Starting Formation for both teams, and confirms the changes persist, before the recording window opens","Scorer team sheet pre-recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","113966","Set up both Team Sheets before kickoff, start the match, then verify Team 1 Manager sees a read-only Substitution row and cannot reposition players for either team once the match has started (post-match window)","Manager team sheet post-match window permissions","2026-09-11","failed","2026-09-11","","","",""
"","76497","Parent signs out while viewing as child","Parent-as-child - Persona Checklist","2026-09-11","failed","2026-09-11","","","",""
"","120825","log in with valid credentials, open a match, update team officials by adding respective roles","Home team Manager team officials before lock permissions - only home team editable","2026-09-11","failed","2026-09-11","","","",""
"","99526","Conversation List Loads on Messages Tab","Communication tests","2026-09-11","failed","2026-09-11","","","",""
"","61504","[HOME-003] Tasks banner on Home opens the Tasks web page","Manager Persona Flows","2026-09-11","passed","2026-09-11","","","",""
"","115723","log in with valid credentials, open a match, update team officials by adding respective roles","Scorer team officials after lock permissions - both teams uneditable after lock","2026-09-11","failed","2026-09-11","","","",""
"","120586","log in as Scorer, open a match before lock time, update team officials for both teams","Scorer team officials - Lock Attendance ON, before lock - both teams editable","2026-09-11","failed","2026-09-11","","","",""
"","53614","assign Manager and Coach roles via API, then verify they appear in the app without re-entry","Manager team officials - web-assigned roles reflected in app","2026-09-11","passed","2026-09-11","","","",""
"","108082","Should log in with valid credentials, select a team in the Schedule/Draws tab, and then validate the Match Center screen and its tab elements","Match scheduling/draws Flow","2026-09-11","failed","2026-09-11","","","",""
